amount,merchant_category,channel,device_type,ip_velocity,session_duration_s,failed_auth_count,is_international,hour_of_day,day_of_week,is_weekend,is_night,province_mismatch,amount_zscore,high_velocity_flag,short_session_flag,behavioral_risk_score,is_fraud
57.28,11,1,2,1,254,0,0,6,0,0,0,0,-0.5551,0,0,0.0,0
42.85,9,1,1,2,95,0,0,7,4,0,0,0,-0.0768,0,0,0.0,0
212.32,9,3,3,2,176,0,0,11,6,1,0,0,2.5266,0,0,0.0,0
618.7,11,3,2,2,170,0,0,10,2,0,0,0,0.9625,0,0,0.0,0
1051.04,9,1,3,4,30,3,1,0,5,1,1,1,3.7658,0,0,0.65,1
206.86,5,1,0,2,245,0,0,11,4,0,0,0,-0.1675,0,0,0.0,0
161.74,5,1,1,1,174,0,0,17,1,0,0,0,0.4711,0,0,0.0,0
156.48,5,3,2,1,175,0,0,12,3,0,0,1,-0.4294,0,0,0.2,0
42.62,11,3,2,4,216,0,0,15,5,1,0,0,-0.4197,0,0,0.0,0
287.41,5,4,0,2,232,0,0,13,3,0,0,0,-0.6499,0,0,0.0,0
38.77,11,3,2,1,183,0,0,10,5,1,0,0,-1.0084,0,0,0.0,0
14.31,4,2,2,1,153,0,0,18,5,1,0,0,-1.0958,0,0,0.0,0
13.09,10,3,1,3,192,0,0,13,6,1,0,0,-0.3308,0,0,0.0,0
524.77,9,1,3,2,237,0,0,16,2,0,0,0,-0.6592,0,0,0.0,0
8.11,2,3,2,4,111,0,0,10,6,1,0,0,-0.9273,0,0,0.0,0
51.89,5,2,2,1,208,0,0,15,3,0,0,0,0.0147,0,0,0.0,0
61.12,10,1,0,1,191,0,0,16,6,1,0,0,-0.1747,0,0,0.0,0
56.51,9,3,2,1,89,0,0,20,4,0,0,0,-0.2803,0,0,0.0,0
4.07,9,1,1,1,276,0,0,11,5,1,0,0,-0.2133,0,0,0.0,0
43.36,6,3,0,2,107,0,0,13,0,0,0,0,-0.5187,0,0,0.0,0
35.72,9,3,1,2,234,0,0,11,2,0,0,0,-0.2863,0,0,0.0,0
67.3,14,3,0,2,187,0,0,14,1,0,0,0,-0.136,0,0,0.0,0
14.26,6,3,2,3,137,1,0,9,2,0,0,1,-0.2995,0,0,0.4,0
39.24,5,3,0,2,105,0,0,5,2,0,1,0,1.0382,0,0,0.15,0
141.67,14,1,2,1,312,0,0,11,0,0,0,0,-0.2106,0,0,0.0,0
228.87,2,2,2,1,21,0,0,13,0,0,0,1,-0.7803,0,0,0.2,0
11.52,11,4,1,1,170,0,0,11,1,0,0,0,-0.1907,0,0,0.0,0
17.63,11,4,1,2,211,0,0,8,6,1,0,0,-0.756,0,0,0.0,0
62.36,5,1,1,2,207,0,0,11,2,0,0,0,-0.5341,0,0,0.0,0
64.36,0,3,2,2,97,0,0,10,0,0,0,0,-0.177,0,0,0.0,0
212.57,5,1,0,1,104,0,0,17,5,1,0,0,1.7432,0,0,0.0,0
41.4,14,1,0,4,220,0,0,9,1,0,0,0,-0.2127,0,0,0.0,0
5348.5,9,3,2,2,53,0,0,20,2,0,0,0,4.2379,0,0,0.0,1
442.11,0,1,2,3,193,0,0,15,2,0,0,0,-0.2034,0,0,0.0,0
45.73,11,3,2,3,60,0,0,19,0,0,0,0,0.4124,0,0,0.0,0
370.91,5,1,1,2,230,0,0,11,4,0,0,0,-0.0581,0,0,0.0,0
39.92,9,1,2,2,152,0,0,18,3,0,0,0,-0.2634,0,0,0.0,0
5.07,2,1,0,1,210,0,0,11,5,1,0,0,-0.2457,0,0,0.0,0
17.71,14,1,1,2,239,0,0,13,4,0,0,0,-0.6696,0,0,0.0,0
25.49,6,4,0,1,205,0,0,15,3,0,0,0,0.1126,0,0,0.0,0
53.21,5,3,2,5,208,0,0,14,5,1,0,0,-0.3008,0,0,0.0,0
187.89,10,1,2,2,313,0,0,8,3,0,0,1,-0.2561,0,0,0.2,0
9.7,10,1,0,2,210,0,0,17,4,0,0,0,-0.3582,0,0,0.0,0
27.31,5,1,0,1,174,0,0,5,6,1,1,0,0.4714,0,0,0.15,0
7.61,9,3,0,1,221,0,0,18,1,0,0,0,-0.5098,0,0,0.0,0
76.02,11,1,2,2,184,0,0,10,4,0,0,0,-0.775,0,0,0.0,0
71.16,10,3,2,3,255,0,0,21,4,0,0,1,-0.7944,0,0,0.2,0
11.21,4,0,2,3,32,0,0,14,5,1,0,0,-0.4881,0,0,0.0,0
8.64,9,0,0,1,160,1,0,19,0,0,0,0,-0.386,0,0,0.2,0
19.33,2,0,0,3,190,0,0,23,5,1,1,0,-0.2857,0,0,0.15,0
79.77,9,1,1,2,146,0,0,15,5,1,0,0,0.4374,0,0,0.0,0
58.82,2,2,0,3,200,0,0,15,2,0,0,0,0.3813,0,0,0.0,0
106.26,9,1,0,3,106,0,0,12,1,0,0,0,1.915,0,0,0.0,0
66.72,0,0,1,2,160,0,0,13,2,0,0,0,-0.1315,0,0,0.0,0
25.2,0,0,0,2,184,0,0,5,1,0,1,0,-0.4309,0,0,0.15,0
101.97,11,1,2,2,154,0,0,14,1,0,0,0,0.2734,0,0,0.0,0
10.92,8,1,2,4,179,0,0,8,0,0,0,0,-0.2005,0,0,0.0,0
9.08,9,1,0,2,166,0,0,21,6,1,0,0,-1.509,0,0,0.0,0
16.0,4,4,1,1,176,0,0,15,6,1,0,0,-0.0762,0,0,0.0,0
45.3,10,3,2,2,304,0,0,7,3,0,0,0,-0.9548,0,0,0.0,0
125.51,5,4,2,4,213,0,0,17,1,0,0,0,0.7031,0,0,0.0,0
34.93,9,3,1,1,59,0,0,13,4,0,0,0,-0.6747,0,0,0.0,0
43.3,5,4,2,2,254,0,0,19,2,0,0,0,-0.3652,0,0,0.0,0
30.49,0,1,2,1,178,0,0,9,0,0,0,0,-0.6403,0,0,0.0,0
18.72,9,4,0,1,89,0,0,16,5,1,0,0,-0.3252,0,0,0.0,0
11.07,13,3,1,2,90,0,0,18,4,0,0,0,-0.2042,0,0,0.0,0
4.24,0,4,3,15,19,5,1,1,2,0,1,1,-0.356,1,0,0.9,1
282.63,6,1,1,1,219,0,0,14,1,0,0,0,-0.2052,0,0,0.0,0
162.22,4,4,2,2,208,0,0,17,0,0,0,0,-0.2156,0,0,0.0,0
78.62,13,4,0,1,160,0,0,11,2,0,0,0,-0.0568,0,0,0.0,0
72.41,9,4,3,2,250,0,0,22,6,1,1,1,-0.9902,0,0,0.35,0
75.18,5,1,2,1,201,0,0,14,3,0,0,0,-0.2802,0,0,0.0,0
51.09,9,1,0,2,10,0,0,23,3,0,1,0,-0.1326,0,1,0.25,0
8.56,2,4,1,2,260,0,0,13,2,0,0,0,-0.9794,0,0,0.0,0
12.16,6,2,2,2,195,0,0,17,2,0,0,0,-0.2186,0,0,0.0,0
38.75,5,0,2,2,169,0,0,2,0,0,1,0,-0.6989,0,0,0.15,0
6.8,5,4,1,1,100,0,0,16,0,0,0,0,-1.0025,0,0,0.0,0
