customer_id,province,account_age_days,avg_monthly_spend,avg_txn_amount,typical_peak_hour,preferred_channel,preferred_device,risk_score_initial
CUST_000001,AB,1125,1631.69,81.58,13.6,mobile_app,ios,0.3175
CUST_000002,AB,306,753.27,20.36,15.6,web,ios,0.2058
CUST_000003,AB,1297,1309.84,62.37,11.7,mobile_app,android,0.0866
CUST_000004,ON,805,484.33,12.75,13.5,atm,ios,0.0438
CUST_000005,ON,1324,1306.24,52.25,16.6,mobile_app,ios,0.1422
CUST_000006,ON,522,373.4,10.09,11.4,pos_terminal,ios,0.1961
CUST_000007,MB,1081,929.15,51.62,12.1,web,ios,0.1802
CUST_000008,NB,642,2138.45,213.84,14.9,pos_terminal,android,0.1325
CUST_000009,AB,893,972.21,34.72,11.1,mobile_app,android,0.1385
CUST_000010,QC,711,574.33,52.21,12.5,web,desktop_browser,0.1046
CUST_000011,BC,1336,625.38,18.39,13.0,pos_terminal,desktop_browser,0.1921
CUST_000012,ON,1427,833.66,34.74,11.6,web,android,0.1783
CUST_000013,ON,1134,597.85,18.12,15.4,phone,android,0.1824
CUST_000014,AB,1469,148.56,9.9,18.4,mobile_app,ios,0.3149
CUST_000015,ON,638,2905.73,116.23,12.8,web,android,0.1032
CUST_000016,QC,518,714.13,44.63,17.3,mobile_app,desktop_browser,0.1817
CUST_000017,QC,173,824.36,22.28,15.7,web,android,0.1527
CUST_000018,QC,845,346.53,28.88,17.6,atm,android,0.1805
CUST_000019,ON,986,978.1,81.51,8.2,pos_terminal,ios,0.3944
CUST_000020,ON,984,2116.77,100.8,19.7,mobile_app,ios,0.1535
CUST_000021,BC,908,1108.1,29.95,18.4,mobile_app,android,0.065
CUST_000022,SK,1090,917.11,50.95,16.1,web,unknown,0.1595
CUST_000023,NS,599,1301.5,41.98,10.3,mobile_app,ios,0.0455
CUST_000024,ON,275,2222.24,123.46,12.7,mobile_app,desktop_browser,0.1993
CUST_000025,BC,541,3462.98,346.3,14.0,mobile_app,desktop_browser,0.2105
CUST_000026,QC,1178,528.09,13.54,12.6,atm,ios,0.021
CUST_000027,ON,906,1055.62,70.37,15.6,web,android,0.1932
CUST_000028,BC,820,610.24,15.65,12.3,pos_terminal,ios,0.1298
CUST_000029,QC,819,1362.19,97.3,20.7,mobile_app,android,0.1183
CUST_000030,BC,386,706.69,18.12,17.3,web,android,0.1894
CUST_000031,ON,1069,1516.23,116.63,16.7,web,ios,0.2483
CUST_000032,NS,1480,670.41,23.94,20.3,mobile_app,unknown,0.1189
CUST_000033,MB,1128,666.61,22.22,12.9,pos_terminal,desktop_browser,0.1152
CUST_000034,QC,1038,1078.45,39.94,14.4,mobile_app,desktop_browser,0.1118
CUST_000035,MB,426,3116.24,100.52,14.1,mobile_app,ios,0.2249
CUST_000036,ON,425,569.88,47.49,20.3,pos_terminal,desktop_browser,0.2147
CUST_000037,MB,1216,1165.19,83.23,12.0,mobile_app,ios,0.2667
CUST_000038,QC,1446,1334.05,70.21,12.5,pos_terminal,ios,0.0852
CUST_000039,AB,905,617.23,16.24,13.4,web,desktop_browser,0.2396
CUST_000040,AB,416,1419.66,141.97,11.5,phone,ios,0.292
CUST_000041,QC,1280,1311.96,93.71,14.0,mobile_app,ios,0.1475
CUST_000042,NS,1065,3461.31,173.07,11.9,mobile_app,ios,0.183
CUST_000043,ON,761,371.68,10.05,12.3,mobile_app,android,0.5436
CUST_000044,ON,479,4220.66,124.14,8.8,atm,android,0.2107
CUST_000045,AB,824,670.06,18.61,18.3,mobile_app,ios,0.2349
CUST_000046,QC,706,1252.81,41.76,16.4,mobile_app,ios,0.1433
CUST_000047,ON,1401,1434.77,130.43,15.5,mobile_app,android,0.3455
CUST_000048,QC,948,1526.86,63.62,18.0,web,android,0.1473
CUST_000049,SK,464,274.6,7.63,18.3,mobile_app,android,0.085
CUST_000050,ON,1013,1083.8,29.29,16.4,web,ios,0.3303
CUST_000051,QC,1427,7140.8,357.04,10.7,mobile_app,android,0.3203
CUST_000052,ON,1058,367.77,12.26,15.5,mobile_app,ios,0.2315
CUST_000053,ON,1126,812.63,22.57,11.5,web,android,0.064
CUST_000054,SK,668,1264.59,52.69,14.1,mobile_app,desktop_browser,0.382
CUST_000055,QC,779,1510.47,47.2,11.6,mobile_app,desktop_browser,0.126
CUST_000056,ON,1284,1350.1,51.93,10.1,web,ios,0.2828
CUST_000057,AB,63,8592.63,277.18,12.1,web,android,0.0702
CUST_000058,ON,1430,1086.83,72.46,9.1,mobile_app,ios,0.1305
CUST_000059,NL,258,1140.04,67.06,11.5,mobile_app,ios,0.0936
CUST_000060,ON,1079,1187.33,69.84,16.3,pos_terminal,ios,0.1901
CUST_000061,NS,168,1349.89,89.99,11.3,mobile_app,android,0.2181
CUST_000062,ON,350,1810.38,62.43,11.0,mobile_app,ios,0.5355
CUST_000063,NS,363,1573.74,58.29,15.9,phone,ios,0.273
CUST_000064,QC,299,1743.14,124.51,15.5,pos_terminal,ios,0.3655
CUST_000065,QC,1348,4304.58,253.21,16.5,atm,android,0.0083
CUST_000066,AB,133,1899.73,63.32,7.0,mobile_app,desktop_browser,0.0337
CUST_000067,QC,952,1819.33,113.71,20.8,mobile_app,ios,0.3505
CUST_000068,QC,1171,1608.7,160.87,15.0,mobile_app,desktop_browser,0.2032
CUST_000069,QC,1464,2009.4,182.67,11.2,pos_terminal,android,0.1535
CUST_000070,NS,375,264.28,11.01,18.5,mobile_app,android,0.4741
CUST_000071,SK,1186,1196.93,92.07,16.2,pos_terminal,ios,0.3125
CUST_000072,QC,1399,496.86,16.56,13.6,mobile_app,desktop_browser,0.1354
CUST_000073,ON,342,966.42,33.32,12.7,mobile_app,ios,0.274
CUST_000074,BC,984,838.3,41.91,19.0,mobile_app,ios,0.1024
CUST_000075,ON,1414,2700.66,90.02,15.3,web,ios,0.0891
CUST_000076,ON,1371,1149.84,35.93,18.0,mobile_app,ios,0.1789
CUST_000077,BC,1166,1194.1,49.75,21.3,web,ios,0.5632
CUST_000078,BC,472,588.6,15.91,17.7,web,ios,0.0171
CUST_000079,QC,1173,2398.59,199.88,16.4,phone,desktop_browser,0.1575
CUST_000080,SK,543,533.56,28.08,9.0,web,ios,0.4309
CUST_000081,MB,1279,1014.89,72.49,17.7,mobile_app,unknown,0.0171
CUST_000082,BC,1168,502.31,15.7,13.0,pos_terminal,android,0.3002
CUST_000083,ON,834,419.84,12.0,10.1,atm,ios,0.169
CUST_000084,ON,371,280.88,8.03,12.3,atm,desktop_browser,0.137
CUST_000085,BC,731,2468.82,112.22,13.0,mobile_app,ios,0.3064
CUST_000086,QC,705,599.26,19.98,13.3,mobile_app,android,0.2922
CUST_000087,ON,1297,1271.39,127.14,14.9,web,android,0.0408
CUST_000088,BC,71,1331.44,51.21,19.0,mobile_app,ios,0.1176
CUST_000089,NS,1371,647.35,24.9,10.0,pos_terminal,android,0.1197
CUST_000090,NS,518,3276.03,121.33,9.4,mobile_app,android,0.1587
CUST_000091,SK,912,394.89,17.17,15.1,phone,desktop_browser,0.1161
CUST_000092,ON,1205,1123.05,59.11,18.0,mobile_app,ios,0.2532
CUST_000093,ON,1011,536.1,22.34,14.5,web,desktop_browser,0.3461
CUST_000094,MB,301,2571.86,214.32,13.9,phone,desktop_browser,0.075
CUST_000095,QC,353,721.77,60.15,8.4,web,ios,0.1975
CUST_000096,AB,1355,879.98,62.86,17.0,atm,unknown,0.1622
CUST_000097,ON,1383,647.08,20.87,14.9,mobile_app,ios,0.204
CUST_000098,QC,448,8114.1,312.08,15.4,pos_terminal,ios,0.099
CUST_000099,MB,1320,3781.98,343.82,19.4,mobile_app,ios,0.193
CUST_000100,ON,67,951.88,39.66,11.6,pos_terminal,android,0.1155
CUST_000101,ON,1376,8279.57,236.56,12.4,pos_terminal,android,0.2745
CUST_000102,ON,1223,2114.1,62.18,15.5,pos_terminal,ios,0.3148
CUST_000103,AB,385,1317.78,48.81,13.5,pos_terminal,ios,0.4297
CUST_000104,BC,615,802.11,50.13,12.0,pos_terminal,ios,0.2979
CUST_000105,ON,915,1623.49,62.44,12.2,web,ios,0.2577
CUST_000106,QC,488,987.49,35.27,7.9,web,ios,0.0687
CUST_000107,NB,878,2690.5,74.74,17.9,mobile_app,android,0.0371
CUST_000108,QC,822,587.43,22.59,15.9,web,android,0.0623
CUST_000109,AB,228,965.91,35.77,10.4,mobile_app,ios,0.1648
CUST_000110,ON,1046,638.35,42.56,19.4,pos_terminal,ios,0.2827
CUST_000111,QC,1354,805.89,33.58,9.2,phone,desktop_browser,0.3197
CUST_000112,ON,1139,1555.22,67.62,14.0,mobile_app,desktop_browser,0.0682
CUST_000113,ON,900,587.35,15.06,11.0,pos_terminal,desktop_browser,0.1328
CUST_000114,NS,1423,1219.53,33.88,14.2,atm,android,0.1245
CUST_000115,BC,439,7560.67,302.43,18.0,mobile_app,ios,0.1676
CUST_000116,ON,779,3842.52,113.02,13.0,mobile_app,desktop_browser,0.1062
CUST_000117,QC,1112,1015.05,32.74,15.5,mobile_app,android,0.0168
CUST_000118,ON,761,1003.66,26.41,15.2,phone,ios,0.4519
CUST_000119,ON,1424,5439.21,418.4,9.1,mobile_app,ios,0.139
CUST_000120,BC,1034,1804.51,138.81,15.0,mobile_app,android,0.0869
CUST_000121,QC,95,2225.6,85.6,15.1,mobile_app,android,0.2616
CUST_000122,ON,891,704.79,37.09,7.7,web,android,0.2583
CUST_000123,QC,194,386.17,19.31,16.5,pos_terminal,android,0.2268
CUST_000124,ON,1073,6948.17,302.09,14.1,web,ios,0.0644
CUST_000125,AB,1238,2033.48,75.31,14.4,mobile_app,android,0.3137
CUST_000126,ON,404,1180.21,40.7,11.2,mobile_app,android,0.2072
CUST_000127,QC,1198,413.57,20.68,13.9,atm,desktop_browser,0.3798
CUST_000128,ON,1273,1227.62,49.1,11.7,web,ios,0.23
CUST_000129,QC,48,730.59,66.42,8.9,pos_terminal,desktop_browser,0.0912
CUST_000130,AB,740,1212.53,35.66,17.3,mobile_app,android,0.1142
CUST_000131,QC,871,4512.64,225.63,18.9,web,android,0.2967
CUST_000132,QC,1379,426.19,32.78,18.2,pos_terminal,android,0.1927
CUST_000133,NS,353,965.07,40.21,14.3,mobile_app,ios,0.2239
CUST_000134,AB,135,498.99,20.79,21.4,pos_terminal,ios,0.3098
CUST_000135,ON,988,965.48,50.81,12.4,web,ios,0.1653
CUST_000136,AB,170,1032.65,31.29,11.0,pos_terminal,desktop_browser,0.1613
CUST_000137,ON,1102,388.74,10.23,14.5,pos_terminal,ios,0.1277
CUST_000138,ON,610,565.35,43.49,13.3,pos_terminal,desktop_browser,0.0488
CUST_000139,BC,470,4018.71,211.51,16.2,phone,ios,0.0958
CUST_000140,AB,1155,237.35,9.13,15.2,mobile_app,ios,0.4286
CUST_000141,QC,985,620.77,47.75,17.7,mobile_app,android,0.1347
CUST_000142,BC,383,5968.7,497.39,9.5,mobile_app,android,0.0559
CUST_000143,QC,662,1483.81,46.37,11.3,mobile_app,ios,0.3838
CUST_000144,AB,315,735.51,26.27,14.2,web,ios,0.2644
CUST_000145,ON,390,970.71,88.25,12.0,atm,android,0.1013
CUST_000146,PE,172,195.92,6.12,15.3,atm,ios,0.1195
CUST_000147,QC,1120,1013.22,30.7,19.3,mobile_app,ios,0.1797
CUST_000148,BC,822,534.44,18.43,16.1,mobile_app,android,0.1771
CUST_000149,BC,1023,999.75,45.44,12.2,mobile_app,ios,0.1467
CUST_000150,ON,419,504.91,17.41,11.2,mobile_app,android,0.1164
CUST_000151,BC,486,218.66,6.43,14.4,mobile_app,ios,0.1813
CUST_000152,ON,814,700.39,70.04,14.5,mobile_app,ios,0.1559
CUST_000153,BC,184,1966.66,50.43,10.2,pos_terminal,android,0.3496
CUST_000154,AB,1476,953.89,30.77,15.2,mobile_app,desktop_browser,0.3602
CUST_000155,ON,212,774.23,38.71,17.6,mobile_app,desktop_browser,0.1169
CUST_000156,ON,426,1679.77,44.2,18.4,mobile_app,android,0.1409
CUST_000157,BC,831,959.7,56.45,20.5,web,ios,0.0846
CUST_000158,ON,874,987.91,47.04,20.0,pos_terminal,android,0.4057
CUST_000159,QC,1444,1272.34,97.87,17.6,mobile_app,android,0.1442
CUST_000160,NB,950,976.74,37.57,17.0,pos_terminal,ios,0.109
CUST_000161,AB,799,998.33,31.2,12.1,web,android,0.3644
CUST_000162,BC,517,1461.72,85.98,11.5,web,android,0.2326
